        j  time(year)     depth(m)   Du(kPa) sigv(kPa)  sigve(kPa)  Phi   e     Gamma(KN/m3)    Kz(m/s) Cv(m2/s)     Gib_fact    Du/(Du_b+sigve_b)     z/h(t) SAR soil_type depthi(m) j_top zi_top z_top
        50       439152.6      -2225.8145      5171.2603     20393.5108     15222.2510         0.2421         0.3194        22.1267     0.00000000032268     0.00000000000000  *************         0.2536         0.0000    0.000000000162  1     -20748.215   42 -17360.75195 -18522.40039
     
        41       548940.8       -423.4336       158.8611        38.6618      -120.1992         0.6216         1.6430        16.0537     0.00000005221746     0.00000103358730         0.4513         0.0069         0.6333    0.000000000083  2     -16937.318   40 -16513.88477 -17906.92188
        42       548940.8       -846.8672      1210.6697      2555.4471      1344.7773         0.3395         0.5141        20.5676     0.00000000164271     0.00000031658192         0.8154         0.0526         0.5224    0.000000000083  2     -17360.752   40 -16513.88477 -17906.92188
        43       548940.8      -1270.2988      2081.0632      5118.7946      3037.7314         0.3098         0.4489        21.0431     0.00000000134528     0.00000032422423         0.8057         0.0905         0.4115    0.000000000083  2     -17784.184   40 -16513.88477 -17906.92188
        44       548940.8      -1515.6387      2640.8252      7682.1422      5041.3169         0.2899         0.4083        21.3608     0.00000000118820     0.00000033315288         0.7949         0.1148         0.3472    0.000000000083  2     -18207.617   40 -16513.88477 -17906.92188
        45       548940.8      -1749.2480      3083.0188     10245.4898      7162.4712         0.2755         0.3803        21.5921     0.00000000109019     0.00000034175278         0.7848         0.1340         0.2860    0.000000000083  2     -18631.051   40 -16513.88477 -17906.92188
        46       548940.8      -1975.6738      4040.2556     12808.8419      8768.5859         0.2669         0.3641        21.7295     0.00000000037002     0.00000012403434         1.3027         0.1756         0.2267    0.000000000083  1     -19054.482   40 -16513.88477 -17906.92188
        47       548940.8      -2197.3301      4718.0142     15358.3952     10640.3809         0.2584         0.3484        21.8659     0.00000000035267     0.00000012642411         1.2903         0.2051         0.1687    0.000000000083  1     -19477.916   40 -16513.88477 -17906.92188
        48       548940.8      -2415.6973      5126.6973     17906.3217     12779.6240         0.2501         0.3336        21.9979     0.00000000033700     0.00000012900111         1.2774         0.2229         0.1115    0.000000000083  1     -19901.350   40 -16513.88477 -17906.92188
        49       548940.8      -2631.0625      5260.0991     23002.1599     17742.0605         0.2349         0.3070        22.2418     0.00000000031064     0.00000013451272         1.2509         0.2287         0.0551    0.000000000083  1     -20324.781   40 -16513.88477 -17906.92188
        50       548940.8      -2841.2930      5126.6973     23002.1599     17875.4629         0.2345         0.3064        22.2475     0.00000000031007     0.00000000000000  *************         0.2229         0.0000    0.000000000083  1     -20748.215   40 -16513.88477 -17906.92188
     
        41       658728.9       -423.4336       979.0067      1676.3386       697.3320         0.3617         0.5666        20.2132     0.00000000192962     0.00000031515049         0.8025         0.0397         0.5351    0.000000000083  2     -16937.318   40 -16513.88477 -18127.45117
        42       658728.9       -846.8672      1700.0724      4193.1238      2493.0515         0.3173         0.4647        20.9239     0.00000000141205     0.00000032168214         0.7943         0.0690         0.4320    0.000000000083  2     -17360.752   40 -16513.88477 -18127.45117
        43       658728.9      -1089.4336      2185.0879      6756.4714      4571.3833         0.2939         0.4162        21.2980     0.00000000121704     0.00000033113162         0.7829         0.0887         0.3729    0.000000000083  2     -17784.184   40 -16513.88477 -18127.45117
        44       658728.9      -1321.5566      2590.3936      9319.8190      6729.4253         0.2781         0.3852        21.5503     0.00000000110699     0.00000034006126         0.7725         0.1051         0.3164    0.000000000083  2     -18207.617   40 -16513.88477 -18127.45117
        45       658728.9      -1547.1875      2923.9634     11883.1665      8959.2031         0.2660         0.3623        21.7445     0.00000000103199     0.00000034847398         0.7631         0.1187         0.2614    0.000000000083  2     -18631.051   40 -16513.88477 -18127.45117
        46       658728.9      -1768.3164      3665.7371     14446.5187     10780.7812         0.2578         0.3473        21.8752     0.00000000035153     0.00000012659780         1.2661         0.1488         0.2076    0.000000000083  1     -19054.482   40 -16513.88477 -18127.45117
        47       658728.9      -1985.5391      4207.7983     16996.0720     12788.2734         0.2501         0.3335        21.9984     0.00000000033694     0.00000012901128         1.2542         0.1708         0.1547    0.000000000083  1     -19477.916   40 -16513.88477 -18127.45117
        48       658728.9      -2200.2676      4535.7720     19543.9985     15008.2266         0.2427         0.3205        22.1162     0.00000000032382     0.00000013154623         1.2421         0.1841         0.1024    0.000000000083  1     -19901.350   40 -16513.88477 -18127.45117
        49       658728.9      -2412.6309      4646.2773     24639.8367     19993.5586         0.2292         0.2973        22.3332     0.00000000030157     0.00000013685127         1.2177         0.1886         0.0507    0.000000000083  1     -20324.781   40 -16513.88477 -18127.45117
        50       658728.9      -2620.7637      4535.7720     24639.8367     20104.0645         0.2289         0.2969        22.3374     0.00000000030116     0.00000000000000  *************         0.1841         0.0000    0.000000000083  1     -20748.215   40 -16513.88477 -18127.45117
     
        40       768517.1       -423.4316       855.5874       912.4097        56.8223         0.4419         0.7919        18.9290     0.00000000271748     0.00000024273081         0.9061         0.0326         0.5506    0.000000000083  3     -16513.885   39 -16090.45215 -17904.84180
        41       768517.1       -846.8652      1412.5355      3314.0154      1901.4799         0.3272         0.4863        20.7646     0.00000000150898     0.00000031894510         0.7904         0.0538         0.4542    0.000000000083  2     -16937.318   39 -16090.45215 -17904.84180
        42       768517.1      -1097.8496      1860.6428      5830.8006      3970.1577         0.2995         0.4275        21.2088     0.00000000125984     0.00000032847925         0.7789         0.0708         0.3971    0.000000000083  2     -17360.752   39 -16090.45215 -17904.84180
        43       768517.1      -1332.5039      2252.6487      8394.1482      6141.4995         0.2819         0.3926        21.4897     0.00000000113207     0.00000033771397         0.7681         0.0857         0.3438    0.000000000083  2     -17784.184   39 -16090.45215 -17904.84180
        44       768517.1      -1559.3887      2589.7908     10957.4957      8367.7051         0.2689         0.3678        21.6975     0.00000000104941     0.00000034631060         0.7586         0.0986         0.2921    0.000000000083  2     -18207.617   39 -16090.45215 -17904.84180
        45       768517.1      -1781.3164      2870.4878     13520.8433     10650.3555         0.2584         0.3485        21.8649     0.00000000098917     0.00000035442844         0.7498         0.1092         0.2416    0.000000000083  2     -18631.051   39 -16090.45215 -17904.84180
        46       768517.1      -1999.5762      3500.2192     16084.1955     12583.9766         0.2508         0.3348        21.9867     0.00000000033829     0.00000012877149         1.2440         0.1332         0.1920    0.000000000083  1     -19054.482   39 -16090.45215 -17904.84180
        47       768517.1      -2214.1348      3959.1045     18633.7487     14674.6445         0.2438         0.3224        22.0995     0.00000000032563     0.00000013117324         1.2325         0.1507         0.1432    0.000000000083  1     -19477.916   39 -16090.45215 -17904.84180
